Sr No	StopCode	  StopName	LatLong	Type	Direction	Road Name	Depot	ROUTE 1	ROUTE 2	ROUTE 3	ROUTE 4	ROUTE 5	ROUTE 6	ROUTE 7	ROUTE 8	ROUTE 9	ROUTE 10	ROUTE 11	ROUTE 12	ROUTE 13	ROUTE 14	ROUTE 15	ROUTE 16	ROUTE 17	ROUTE 18	ROUTE 19	ROUTE 20	ROUTE 21	ROUTE 22	ROUTE 23	ROUTE 24	ROUTE 25	ROUTE 26	ROUTE 27	ROUTE 28	ROUTE 29	ROUTE 30
882	07105	Empier Mill	19.0004615783691,72.828826904296875	18 ft	dn	Senapati Bapat Marg	Worli	0700	0801	0911																											
884	07107	Famous Studio	18.9869709014892,72.823677062988281	18 ft	dn	Dr. E. Mosses Road	Worli	0700	0820	1240	1540	1640	1650	1680	1720	3510																					
885	07108	Famous Studio	18.98579788208,72.824005126953125	18 ft	up	Dr. E. Mosses Road	Worli	0700	0820	1240	1540	1640	1650	1680	1720	3510																					
886	07109	Flora Hotel /Vatumal College	19.0028095245361,72.814224243164062	18 ft	dn	Pochkhanawala Marg	Worli	1610																													
888	07111	Flora Hotel /Vatumal College	19.002317,72.81414	18 ft	dn	Thadani Marg	Worli	1660	1710	4630																											
889	07112	Flora Hotel /Vatumal College	19.0030803680419,72.813934326171875	18 ft	dn	Thadani Marg	Worli	0820																													
894	07117	G.G.Chowk	18.9425354003906,72.8305892944336	18 ft	up	Sane Guruji Marg	Worli	0301	0610	0660	0680	0740	0760	0770	4141																						
895	07118	Gammon House	19.014699935913,72.826141357421875	18 ft	dn	Veer Savarkar Marg	Worli	1620																													
896	07119	Gammon House	19.0146446228027,72.826126098632812	18 ft	up	Veer Savarkar Marg	Worli	0330	0350	0370	0560	0830	0880	1100	1510	1580	1610	1640	1650	1690	1710	1720	3050	3570	4630												
898	07121	Gandhi Maidan	19.0022792816162,72.819221496582031	30 ft	dn	G.M.Bhosle Marg	Worli	0440	0500	0680	1240	1250	1640	1650	1680	1710	1720	3570	5211																		
899	07122	Gandhi Maidan	19.0017070770263,72.819099426269531	30 ft	dn	G.M.Bhosle Marg	Worli	0370	0860	0880	0931	1510																									
900	07123	Gandhi Maidan	19.0021362304687,72.81903076171875	24 ft	up	G.M.Bhosle Marg	Worli	0440	0500	0680	1240	1250	1680																								
901	07124	Gandhi Maidan	19.0021572113037,72.819145202636719	24 ft	up	G.M.Bhosle Marg	Worli	0370	0860	0880	0931	1510	1640	1650	1710	1720	3570	5211																			
903	07126	Gandhi Nagar	18.9961318969726,72.822662353515625	Ele.Pole	dn	Dainik shivner marg	Worli	0554	0570	1660																											
904	07127	Gandhi Nagar	18.9933834075927,72.822357177734375	12 ft	dn	Dainik shivner marg	Worli	0500	0680																												
908	07131	Gulabrao Ganacharya Chowk	18.985889,72.831665	18 ft	up	N.M.Joshi Marg	Worli	0021	0140	0620	0630	1580																									
909	07132	Hinduja Hospital	19.0320854187011,72.839439392089844	18 ft	dn	T.Katariya Marg	Worli	0830	0841																												
911	07134	Jakha devi	19.0149917602539,72.834259033203125	30 ft	up	Gokhle Road (South)	Worli	0021	0630	0740	0911																										
912	07135	Jakha devi 	19.0146179199218,72.834297180175781	30 ft	dn	Gokhle Road (South)	Worli	0021	0630	0740	0911																										
913	07136	Jijamata Nagar	18.9932823181152,72.820037841796875	18 ft	dn	Dr. E. Mosses Road	Worli	0570																													
914	07137	Jijamata Nagar	18.9939212799072,72.8202133178711	18 ft	dn	Dr. E. Mosses Road	Worli	0500	0680																												
915	07138	Jijamata Nagar	18.9936923980712,72.820228576660156	30 ft	dn	Dr. E. Mosses Road	Worli	0820	1240	1540	1640	1650	1680	1720	3510																						
916	07139	Jijamata Nagar	18.9931182861328,72.820205688476562	18 ft	up	Dr. E. Mosses Road	Worli	0801	0820	0911	1540	1640	1650	1680	1720	3510																					
917	07140	Jijamata Nagar	18.9932823181152,72.820068359375	18 ft	up	Dr. E. Mosses Road	Worli	0440	0500	0554	0680	1240	1660																								
919	07142	K.Vitthalrao Yadav Chowk	18.9989013671875,72.8283920288086	18 ft	dn	Senapati Bapat Marg	Worli	0700	0801	0911																											
920	07143	K.Vitthalrao Yadav Chowk	18.9975929260253,72.826995849609375	18 ft	up	Senapati Bapat Marg	Worli	0700	0801	0911																											
921	07144	Kamgar Stadiom	19.0111351013183,72.835380554199219	Pole	dn	Senapati Bapat Marg	Worli	0700	0801																												
922	07145	Kamgar Stadiom	19.0115547180175,72.835273742675781	24 ft	up	Senapati Bapat Marg	Worli	0700	0801																												
923	07146	Kamla Mill	19.0028476715087,72.830131530761719	18 ft	dn	Senapati Bapat Marg	Worli	0700	0801	0911																											
924	07147	Kamla Mill	19.0027027130126,72.829681396484375	18 ft	up	Senapati Bapat Marg	Worli	0700	0801	0911																											
926	07149	Kasturba Hospital	18.9840393066406,72.829170227050781	12 ft	up	Sane Guruji Marg	Worli	0301	0610	0660	0680	0740	0760	0770	4141																						
928	07151	Katariya Marg	19.0309467315673,72.845077514648438	12 ft	up	T.Katariya Marg	Worli	1750	4630																												
932	07155	Khedgalli	19.0145606994628,72.832725524902344	12 ft	dn	Kakasaheb Gadgil Marg	Worli	0350	0560	0880	1,100	1510	1,610	1,640	1710	3,050	3,570	4630																			
933	07156	Khedgalli	19.0139064788818,72.8332290649414	Pole	up	Kakasaheb Gadgil Marg	Worli	0350	0560	0880	1,100	1510	1,610	1,640	1710	3,050	3,570	4630																			
934	07157	Kirti College	19.020884,72.832985	30 ft	dn	Veer Savarkar Marg	Worli	0830	0841	0047																											
935	07158	Kirti College	19.020884,72.832985	18 ft	up	Veer Savarkar Marg	Worli	0830	0841	0047																											
936	07159	Lower Parel Station	18.9969367980957,72.831146240234375	30 ft	dn	N.M.Joshi Marg	Worli	0554	0570	1660																											
938	07161	Lower Parel Station	18.9969635009765,72.8311767578125	30 ft	up	N.M.Joshi Marg	Worli	0440	0500	0680	1580																										
939	07162	Lower Parel Station	18.9971714019775,72.831161499023438	30 ft	up	N.M.Joshi Marg	Worli	0021	0620	0630	0740																										
940	07163	Lower Parel Stn.	18.9974479675292,72.8314437866211	30 ft	dn	N.M.Joshi Marg	Worli	0021	0620	0630	0680	0740	1,580																								
941	07164	Lower Parel Stn.	18.9971370697021,72.831428527832031	30 ft	dn	N.M.Joshi Marg	Worli	0440	0500																												
942	07165	Lower Parel Stn.	18.9967594146728,72.831436157226562	30 ft	up	N.M.Joshi Marg	Worli	0524	0554	0570	1,660																										
944	07167	Lower Parel Workshop	19.0010375976562,72.83123779296875	30 ft	dn	N.M.Joshi Marg	Worli	0021	0620	0630	0740																										
945	07168	Lower Parel Workshop	19.0022773742675,72.830947875976562	18 ft	up	N.M.Joshi Marg	Worli	0021	0620	0630	0740																										
947	07170	Mahalaxmi Rly. Stn.	18.9834098815917,72.8244400024414	24 ft	dn	Dr. E. Mosses Road	Worli	1240	3510																												
948	07171	Mahalaxmi Rly. Stn.	18.9830493927001,72.824226379394531	30 ft	dn	Dr. E. Mosses Road	Worli	0700	0820	1540	1640	1650	1680	1720																							
949	07172	Mahalaxmi Rly. Stn.	18.9832668304443,72.8241195678711	24 ft	up	Dr. E. Mosses Road	Worli	0700	0820	1240	1540	1640	1650	1680	1720	3510																					
952	07175	Matunga Station	19.0315074920654,72.8476333618164	18 ft	dn	Senapati Bapat Marg	Worli	0700	0801																												
953	07176	Matunga Station	19.0299015045166,72.846939086914062	18 ft	up	Senapati Bapat Marg	Worli	0700	0801																												
956	07179	Mhatre Pen Co.	19.0151119232177,72.839271545410156	18 ft	dn	Senapati Bapat Marg	Worli	0700	0801																												
957	07180	Mhatre Pen Co.	19.0137481689453,72.837440490722656	18 ft	up	Senapati Bapat Marg	Worli	0700	0801																												
958	07181	Municipal office (Yangriha)	19.0301818847656,72.854843139648438	Pole	dn	Dr. E. Mosses Road	Worli	1240	1540	1640	1650	1680	1720	3510																							
959	07182	N.M.Joshi Marg Police Station	18.9912929534912,72.831466674804688	30 ft	up	N.M.Joshi Marg	Worli	0021	0140	0620	0630	0680	0740	0760	1580	4,141																					
960	07183	N.M.Joshi Marg Police Stn.	18.9910526275634,72.8316879272461	30 ft	dn	N.M.Joshi Marg	Worli	0021	0140	0620	0630	0680	0740	0760	1580	4,141																					
962	07185	N.Planoterium	18.988659,72.813667	18 ft.	dn	Ani Basent Marg	Worli	0370	801	0811	1510																										
963	07186	N.Planoterium	18.9894523620605,72.8141098022461	18 ft.	dn	Ani Basent Marg	Worli	0850	0871	0890	0911	0921	1250	1660	3050	3570	3850	5211																			
964	07187	N.Planoterium	18.9873123168945,72.8136215209961	24 ft.	dn	Ani Basent Marg	Worli	0280	0330	0570	0830	0841	0860	0880	0931	0027	0037	0047	0097	5927	0708	0748	0758	0768													
965	07188	N.Planoterium	18.9885234832763,72.813690185546875	24 ft.	up	Ani Basent Marg	Worli	0280	0330	0830	0841	0860																									
966	07189	N.Planoterium	18.9884624481201,72.81365966796875	24 ft.	up	Ani Basent Marg	Worli	0027	0037	0047	0097	0708	0748	0768	5927																						
968	07191	N.Planoterium	18.99053764343267,72.813835144042969	24 ft.	up	Ani Basent Marg	Worli	0850	0921	0931	5,211																										
969	07192	N.Planoterium	18.9893493652343,72.813705444335938	30 ft.	up	Ani Basent Marg	Worli	0880	1250	1510	3,050	3570	3,850																								
971	07194	N.Planoterium	18.9898853302001,72.813774108886719	18 ft.	up	Ani Basent Marg	Worli	0570	0890	1660																											
972	07195	N.Planoterium	18.988659,72.813667	18 ft.	up	Ani Basent Marg	Worli	1540																													
981	07204	Narayan Pujari Nagar	18.994717,72.813591	18 ft	dn	Abdul Gafar Khan Marg	Worli	0890	1660	0707	0748	0768																									
982	07205	Narayan Pujari Nagar	18.994717,72.813591	18 ft	up	Abdul Gafar Khan Marg	Worli	0890	1660	0707	0748	0768																									
984	07207	National Asso.(NAB)	19.0110549926757,72.816291809082031	18 ft	dn	Abdul Gafar Khan Marg	Worli	0820	0890	4630	0707	0748	0768																								
987	07210	P.K.Kurne Chowk	19.0046043395996,72.8207778930664	30 ft	dn	G.M.Bhosle Marg	Worli	1250	01710	5211	3570																										
988	07211	P.K.Kurne Chowk	0.004842758178711,72.820915222167969	24 ft	dn	G.M.Bhosle Marg	Worli	0440	0500	0680	1240	1640	1650	1680	1720																						
989	07212	P.K.Kurne Chowk	19.0043315887451,72.820556640625	30 ft	dn	G.M.Bhosle Marg	Worli	0370	0860	0880	0931	1510																									
990	07213	P.K.Kurne Chowk	19.0053730010986,72.8209457397461	18 ft	up	G.M.Bhosle Marg	Worli	0440	0500	0680	1240	1250																									
991	07214	P.K.Kurne Chowk	19.0054092407226,72.8210220336914	24 ft	up	G.M.Bhosle Marg	Worli	0350	0370	0390	0860	0880	0931	1100	1510	1640	1650	1710	1720	3050	3570	03850	5211														
994	07217	Passport office	19.0113372802734,72.8211441040039	30 ft.	dn	Ani Basent Marg	Worli	0350	0330	0440	0500	0871	1100	1580	1640	1650	1710	1720																			
995	07218	Passport office	19.0114631652832,72.820877075195312	18 ft.	up	Ani Basent Marg	Worli	0280	0330	0390	0440	0500	0830	0860	1250	3240																					
997	07220	Phonix Mill	18.9957637786865,72.826400756835938	Pole	dn	Senapati Bapat Marg	Worli	0700	0801	0911																											
998	07221	Phonix Mill	18.9952297210693,72.825668334960938	18 ft	up	Senapati Bapat Marg	Worli	0700	0801	0911																											
999	07222	Piramal Hospital	18.9983024597167,72.825233459472656	12 ft	dn	Ganpatrao Kadam Marg	Worli	0554	0570	1660																											
1000	07223	Piramal Hospital	18.9984607696533,72.825332641601562	18 ft	dn	Ganpatrao Kadam Marg	Worli	0440	0500	0680																											
1002	07225	Piramal Hospital	18.9984054565429,72.825271606445312	18 ft	up	Ganpatrao Kadam Marg	Worli	0554	0570	1660																											
1003	07226	Poddar Hosp/ Siddharth Nagar	19.0027179718017,72.815605163574219	24 ft.	up	Ani Basent Marg	Worli	0280	0330	0811	0830	0841	0871	0047																							
1004	07227	Poddar Hosp/ Siddharth Nagar	19.003189086914,72.8158187866211	18 ft.	up	Ani Basent Marg	Worli	0850	0921	1610	3050	3510	3850	4630																							
1006	07229	Poddar Hosp/Siddharth Nagar 	19.0009822845458,72.81610107421875	30 ft.	dn	Ani Basent Marg	Worli	0280	0330	0811	0820	0830	0841	0850	0871	0921	3050	3510	3850																		
1007	07230	Poddar Hospital /Siddharth Ngr.	19.003122,72.815804	18 ft	dn	Thadani Marg	Worli	1710	1660																												
1008	07231	Poddar Hospital /Siddharth Ngr.	19.0013751983642,72.815353393554688	18 ft	dn	Thadani Marg	Worli	1610	4630																												
1010	07233	Police Camp	19.0082931518554,72.814773559570312	18 ft	dn	Abdul Gafar Khan Marg	Worli	0820	0890	4630																											
1012	07235	Police Camp	19.0044555664062,72.8166732788086	24 ft.	up	Ani Basent Marg	Worli	0280	0330	0830																											
1013	07236	Police Camp	19.0043888092041,72.81671142578125	24 ft.	up	Ani Basent Marg	Worli	0850	1610	3050	3510	3850	4630																								
1014	07237	Police Camp	19.0112438201904,72.817657470703125	Pole	dn	Pochkhanawala Marg	Worli	1610																													
1015	07238	Prabhadevi	19.0138931274414,72.830154418945312	18 ft	dn	Appasaheb Marathe Rd.	Worli	0530	0560	1690																											
1016	07239	Prabhadevi	19.013723373413,72.8294906616211	30 ft	dn	Appasaheb Marathe Rd.	Worli	0270	0280	0330	0370	0390	0811	0830	0841	0860	0880	0931	1510																		
1017	07240	Prabhadevi	19.013277053833008,72.8289794921875	30 ft	dn	Appasaheb Marathe Rd.	Worli	0850	0871	0921	3050	3510	3570	3850	5211																						
1018	07241	Prabhadevi	19.0133876800537,72.828605651855469	18 ft	dn	Appasaheb Marathe Rd.	Worli	0027	0037	0047	0097	5927																									
1019	07242	Prabhadevi	19.0132179260253,72.828903198242188	18 ft	dn	Appasaheb Marathe Rd.	Worli	0350	1100	1580	1610	1640	1650	1710	1720	3240	4630																				
1021	07244	Prabhadevi/S.V.Mandir	19.0189743041992,72.831756591796875	24 ft	dn	Veer Savarkar Marg	Worli	0830	0841	0047																											
1022	07245	Prabhadevi/Siddhivinayak Mandir	19.0179328918457,72.8316879272461	18 ft	up	Veer Savarkar Marg	Worli	0270	0530	0850	0921	0931	1580	1650	1690	1720	3510	3850	5211	0097	5928																
1023	07246	Prabhadevi/Siddhivinayak Mandir	19.0179023742675,72.83135986328125	18 ft	up	Veer Savarkar Marg	Worli	0280	0330	0370	0390	0811	0830	0841	0860	0871	3240																				
1024	07247	Prabhadevi/Siddhivinayak Mandir	19.0158214569091,72.827789306640625	18 ft	up	Veer Savarkar Marg	Worli	0027	0037	0047																											
1025	07248	Prabodhankar Thakre Chowk	19.0200939178466,72.836578369140625	30 ft	dn	Gokhle Road (North)	Worli	0280	0330	0370	0530	0811	0850	0860	0871	0921	0931	5211	5927																		
1026	07249	Prabodhankar Thakre Chowk	19.0180797576904,72.835823059082031	30 ft	dn	Gokhle Road (North)	Worli	0021	0630	0740	0911																										
1027	07250	Prabodhankar Thakre Chowk	19.0200061798095,72.836517333984375	18 ft	up	Gokhle Road (North)	Worli	0021	0630	0740	0911																										
1028	07251	Prabodhankar Thakre Chowk	19.0194206237792,72.83624267578125	30 ft	up	Gokhle Road (North)	Worli	0530	0850	0921	0931	5211																									
1029	07252	Prabodhankar Thakre Chowk	19.0201110839843,72.83636474609375	18 ft	up	Gokhle Road (North)	Worli	0021	0280	0330	0370	0740	0811	0860	087l	0911																					
1030	07253	Prabodhankar Thakre Chowk	19.0193061828613,72.836959838867188	30 ft	dn	S.K.Bole Marg	Worli	0270	0390	0630	1580	1650	1690	1720	3240	3510	3850																				
1031	07254	Prabodhankar Thakre Chowk	19.0198802947998,72.837478637695312	18 ft	up	S.K.Bole Marg	Worli	0270	0390	0630	1580	1650	1690	1720	3240	3510	3850																				
1035	07258	R.G.G. Chowk /Shivaji Park	19.0241432189941,72.839920043945312	18 ft	dn	Gokhle Road (North)	Worli	0530	0850	0871	0921	5211																									
1036	07259	R.G.G. Chowk /Shivaji Park	19.0241947174072,72.839797973632812	24 ft	dn	Gokhle Road (North)	Worli	0280	0330	0370	0811	0860	0931																								
1037	07260	R.G.G. Chowk /Shivaji Park	19.026056,72.840736	18 ft	dn	Gokhle Road (North)	Worli	0021	0740	0911																											
1038	07261	R.G.G. Chowk /Shivaji Park	19.0163879394531,72.83740234375	18 ft	dn	Gokhle Road (North)	Worli	0027	0037	0097	5927																										
1040	07263	R.G.G. Chowk /Shivaji Park	19.023681640625,72.839149475097656	18 ft	up	Gokhle Road (North)	Worli	0850	0921	0931	0037	0097	5927																								
1041	07264	R.G.G. Chowk /Shivaji Park	19.0259971618652,72.84075927734375	30 ft	up	Gokhle Road (North)	Worli	0021	0530	0740	0911	3540																									
1042	07265	R.G.G. Chowk /Shivaji Park	19.024522781372,72.840995788574219	30 ft	dn	N.C.Kelkar Marg	Worli	0010	0041	0380	0510	0541	2120																								
1043	07266	R.N.Kulkarni/Sasmira	19.0096282958984,72.820106506347656	24 ft.	dn	Ani Basent Marg	Worli	0370	0680	0880	0931	1240	1250	1510	1630	3570	5211																				
1044	07267	R.N.Kulkarni/Sasmira	19.0095329284667,72.8200454711914	24 ft.	dn	Ani Basent Marg	Worli	0027	0037	0047	0097	5927																									
1045	07268	R.N.Kulkarni/Sasmira	19.0094585418701,72.819831848144531	24 ft.	dn	Ani Basent Marg	Worli	0280	0330	0811	0830	0841	0850	0860	0871	0921	1610	3050	3510	3850	4630																
1047	07270	R.N.Kulkarni/Sasmira Marg	19.009431838989258,72.819503784179688	24 ft.	up	Ani Basent Marg	Worli	0350	0440	0500	0680	0850	0880	1100	1510	1580	1610	1630	1640	1650	1710	1720	3050	3510	3570	3850	4630										
1048	07271	R.T.O	19.0087184906005,72.817398071289062	12 ft	dn	Pochkhanawala Marg	Worli	1610																													
1050	07273	Race course 	18.9796352386474,72.820343017578125	18 ft	dn	Keshavrao Khade Mrg.	Worli	0770	1240	3510																											
1051	07274	Race course 	18.9796352386474,72.820343017578125	18 ft	up	Keshavrao Khade Mrg.	Worli	0770	1240	3510																											
1052	07275	Raghuwanshi Mill	18.992052078247,72.824424743652344	18 ft	dn	Senapati Bapat Marg	Worli	0700	0801	0911																											
1053	07276	Raghuwanshi Mill	18.9916229248046,72.823905944824219	18 ft	up	Senapati Bapat Marg	Worli	0700	0801	0911																											
1055	07278	Rakhangi Chowk	18.9879550933837,72.822906494140625	18 ft	up	Dr. E. Mosses Road	Worli	0700	0820	1240	1540	1640	1650	1680	1720	3510																					
1056	07279	Rakhangi Chowk	18.9896297454833,72.823165893554688	18 ft	dn	Senapati Bapat Marg	Worli	0700	0801	0911																											
1059	07282	Ram Ganesh Gadkari  Chowk 	19.02452278137207,72.840995788574219	30 ft	dn	Lady Jamshedji Road   	Worli	0010	0350	0380	0390	0401	0460	0520	0560	0610	0620	1750	2000	2010	2120	2410	3150	3240	4401	4630	4407										
1060	07283	Ram Ganesh Gadkari  Chowk 	19.0260047912597,72.840827941894531	12 ft	up	Lady Jamshedji Road   	Worli	0010	0460	0610	0740	0860	2120																								
1061	07284	Ram Ganesh Gadkari  Chowk 	19.0261325836181,72.8408432006836	18 ft	up	Lady Jamshedji Road   	Worli	0041	0280	0330	0380	0510	0541	0560	0811	1750	2410	3240	4630																		
1062	07285	Ram Ganesh Gadkari  Chowk 	19.0261974334716,72.840782165527344	18 ft	up	Lady Jamshedji Road   	Worli	0021	0350	0370	0390	0401	0620	0871	3150	4140	4401	0027	4407																		
1063	07286	Ranade Road Junction	19.022549,72.838699	18 ft	dn	Gokhle Road (North)	Worli	0021	0740	0911																											
1064	07287	Ranade Road Junction	19.0227870941162,72.8384017944336	18 ft	dn	Gokhle Road (North)	Worli	0280	0330	0370	0530	0850	0860																								
1065	07288	Ranade Road Junction	19.0219573974609,72.8377685546875	18 ft	up	Gokhle Road (North)	Worli	0530	0850																												
1066	07289	Ranade Road Junction	19.0222587585449,72.837806701660156	18 ft	up	Gokhle Road (North)	Worli	0021	0280	0330	0370	0740	0860	0911																							
1068	07291	Ravindra Natya Mandir	19.0149211883544,72.830238342285156	18 ft	up	Sayani Marg	Worli	0350	0560	0880	1,100	1510	1,610	1,640	1710	3,050	3,570	4630																			
1070	07293	Ruby Mill	19.0241470336914,72.844924926757812	18 ft	up	Senapati Bapat Marg	Worli	0700	0801																												
1071	07294	Ruparel College	19.0239028930664,72.8451156616211	18 ft	dn	Senapati Bapat Marg	Worli	0700	0801																												
1072	07295	Ruparel College	19.0269985198974,72.845985412597656	18 ft	up	Senapati Bapat Marg	Worli	0700	0801																												
1073	07296	S.G.M.Chowk	18.9813861846923,72.825752258300781	30 ft	dn	Keshavrao Khade Mrg.	Worli	0770																													
1074	07297	S.G.M.Chowk	18.9809074401855,72.827606201171875	Pole	dn	Keshavrao Khade Mrg.	Worli	1540	1640																												
1075	07298	S.G.M.Chowk	18.9806365966796,72.826835632324219	24 ft	dn	Keshavrao Khade Mrg.	Worli	0700	0740	0760	0820	1560																									
1077	07300	S.G.M.Chowk	18.98140335083,72.825912475585938	30 ft	up	Keshavrao Khade Mrg.	Worli	0700	0820	1540	1640	1650	1680	1720																							
1080	07303	S.G.M.Chowk	18.9825325012207,72.827896118164062	12 ft	up	Sane Guruji Marg	Worli	0301	0610	0660	0680	0760	0770	4141																							
1082	07305	S.T.Depot (Parel)	19.0116634368896,72.832565307617188	30 ft	dn	Gokhle Road (South)	Worli	0021	0620	0630	0740	0911																									
1085	07308	S.T.Depot (Parel)	19.0106086730957,72.831306457519531	18 ft	up	Gokhle Road (South)	Worli	0630	1620	2010																											
1086	07309	S.T.Depot (Parel)	19.010387,72.831314	30 ft	up	Gokhle Road (South)	Worli	0021	0620	0740	0911																										
1088	07311	S.T.Depot/R.D.Chowk	19.0092487335205,72.832328796386719	Pole	up	Jagannath Bhatankar Marg	Worli	1,620	2010																												
1089	07312	S.T.Depot/R.D.Chowk	19.0106678009033,72.8323745727539	30 ft	dn	Sayani Marg	Worli	1620	2010																												
1090	07313	S.T.Office/Jari mari mata mandir	18.994736,72.815208	24 ft.	dn	Ani Basent Marg	Worli	1540																													
1091	07314	S.T.Office/Jari mari mata mandir	18.9945697784423,72.815048217773438	30 ft.	up	Ani Basent Marg	Worli	0280	0330	0370	0801	0811	0830	0841	0871																						
1092	07315	S.T.Office/Jari mari mata mandir	18.9947471618652,72.815177917480469	24 ft.	up	Ani Basent Marg	Worli	0570	0850	0880	0911	0921	0931	1250	1510	1710	3050	3570	3850	5211																	
1093	07316	S.T.Office/Jari mari mata mdr.	18.9950828552246,72.815750122070312	30 ft.	dn	Ani Basent Marg	Worli	0280	0330	0370	0570	0801	0811	0830	0841	0850	0871	0880	0911	0921	0931	1250	1510	3050	3570	3850	5211										
1094	07317	S.T.Office/Jari mari mata mdr.	18.994736,72.815208	30 ft.	up	Ani Basent Marg	Worli	1540																													
1095	07318	Sant Rohidas Chowk	19.0116634368896,72.832565307617188	30 ft	dn	Senapati Bapat Marg	Worli	0021	0620	0630	0700	0740	0811	0911																							
1097	07320	Sant Rohidas Chowk	19.0097064971923,72.833549499511719	18 ft	up	Senapati Bapat Marg	Worli	0700	0801																												
1099	07322	Sasmira Marg	18.9950504302978,72.815780639648438	Ele.Pole	dn	Sasmira Marg	Worli	0270	0330	3240																											
1100	07323	Sasmira Marg	19.0092544555664,72.819404602050781	Ele.Pole	up	Sasmira Marg	Worli	0680	1240	1630																											
1104	07327	Shardashram	19.016193389892578,72.8377914428711	18 ft	dn	Bhavani Shankar Rd.	Worli	0350	0620	0560	0880	1100	1510	1610	1640	1710	2010	3050	3570	4630																	
1105	07328	Shardashram	19.0155582427978,72.837089538574219	18 ft	up	Bhavani Shankar Rd.	Worli	0350	0620	0560	0880	1100	1510	1610	1640	1710	2010	3050	3570	4630																	
1109	07332	Shivaji Mandir	19.0233173370361,72.841926574707031	18 ft	dn	N.C.Kelkar Marg	Worli	3150																													
1110	07333	Shivaji Mandir	19.0231494903564,72.84234619140625	30 ft	dn	N.C.Kelkar Marg	Worli	0010	0041	0350	0380	0390	0401	0460	0510	0520	0541	0610	0620	1750	2000	2010	2120	2410	4141	4401	4630	4407									
1111	07334	Shivaji Mandir	19.0233459472656,72.841728210449219	18 ft	up	N.C.Kelkar Marg	Worli	0041	0350	0380	0390	0401	0510	0620	2000	2010	2410	3150	3240	4401	4630																
1112	07335	Shivaji Mandir	19.0232505798339,72.842117309570312	18 ft	up	N.C.Kelkar Marg	Worli	0530	0850	0921	0931	3540	5211	0037	0097	5927																					
1114	07337	Shivaji Park /Mayor Nivas	19.029163,72.837624	18 ft	dn	Veer Savarkar Marg	Worli	0830	0841																												
1115	07338	Shivaji Park /Mayor Nivas	19.029163,72.837624	18 ft	up	Veer Savarkar Marg	Worli	0830	0840																												
1118	07341	Siddhivinayak Mandir	19.0179748535156,72.831985473632812	12 ft	dn	S.K.Bole Marg	Worli	0270	0280	0330	0390	0530	0850	0860	0871	1580	1650	1690	1720	3240	3510	3850	5211	0027	0037	0097	5927										
1119	07342	Siddhivinayak Mandir	19.0179023742675,72.831222534179688	33 ft	up	S.K.Bole Marg	Worli	0280	0330	0370	0390	0811	0860	0871	3240																						
1120	07343	Siddhivinayak Mandir	19.0179424285888,72.831794738769531	Pole	up	S.K.Bole Marg	Worli	0270	0530	0850	0921	0931	1580	1690	1650	1720	3510	3850	5211	0027	0037	0097	5927														
1121	07344	Simplex Mill	18.9800090789794,72.831108093261719	Pole	dn	Keshavrao Khade Mrg.	Worli	1540	1640																												
1122	07345	Simplex Mill	18.9798240661621,72.831268310546875	12 ft	up	Keshavrao Khade Mrg.	Worli	1540	1564	1640																											
1124	07347	Sriram Mill 	18.9978561401367,72.822074890136719	18 ft	dn	Dainik shivner marg	Worli	0554	0570	1660																											
1125	07348	Sriram Mill 	18.9973278045654,72.822372436523438	12 ft	dn	Dainik shivner marg	Worli	0500	0680																												
1127	07350	Sriram Mill 	18.998737335205078,72.8209457397461	18 ft	dn	Ganpatrao Kadam Marg	Worli	0440																													
1128	07351	Sriram Mill 	18.9986228942871,72.820976257324219	18 ft	up	Ganpatrao Kadam Marg	Worli	0554	0570	1660																											
1129	07352	Standard Mill	19.0126571655273,72.826744079589844	24 ft	dn	Appasaheb Marathe Rd.	Worli	0530	0560	1690																											
1131	07354	Vainganga Building	19.0064258575439,72.8165054321289	12 ft	dn	Pochkhanawala Marg	Worli	1610																													
1133	07356	Vanita Samaj (Chaityabhumi)	19.026808,72.836411	24 ft	dn	Veer Savarkar Marg	Worli	0830	0841																												
1134	07357	Vanita Samaj (Chaityabhumi)	19.026808,72.836411	30 ft	up	Veer Savarkar Marg	Worli	0830	0841																												
1135	07358	Veer Kotwal Udyan	19.0208702087402,72.84271240234375	18 ft	dn	N.C.Kelkar Marg	Worli	0530	1690																												
1136	07359	Veer Kotwal Udyan	19.0209407806396,72.84246826171875	18 ft	dn	N.C.Kelkar Marg	Worli	0880	1510	3050	3510	3570	3850																								
1137	07360	Veer Kotwal Udyan	19.0209827423095,72.842109680175781	30 ft	dn	N.C.Kelkar Marg	Worli	0270	1100	1610	1640	1650	1710	1720	3240	4630																					
1138	07361	Veer Kotwal Udyan	19.0232067108154,72.842536926269531	Pole	dn	N.C.Kelkar Marg	Worli	0350	0390	0560	0620	1580	2010																								
1139	07362	Veer Kotwal Udyan	19.0211124420166,72.841888427734375	18 ft	dn	N.C.Kelkar Marg	Worli	3150																													
1140	07363	Veer Kotwal Udyan	19.0208702087402,72.84271240234375	24 ft	dn	N.C.Kelkar Marg	Worli	0530	0850	0921	0931	3540	5211	0037	0097	5927																					
